word,Anxious,Depressed,Happy,Introvert,Stable,bio_frequency,km_half_life_days,lognormal_half_life_days,lognormal_mu,lognormal_sigma,prev1,prev2,unique_users
eres,77.93325228895046,49.51449511102567,67.00963991257798,43.074969960168815,37.73133662552512,110.0,120.0,165.75,5.110458,2.859299,0.2610032442703263,0.3963227465943442,100.0
ergo,40.62837664102904,51.99123546100668,48.208223977031,63.91539067804224,42.45524247000672,89.0,203.0,210.18,5.347957,2.104072,0.6264077862487831,0.5672855000271986,82.0
eric,50.06338963951953,52.27587885018903,54.16705493311702,52.593163184489725,51.843427904144825,589.0,207.0,202.3,5.309776,2.086306,4.619757423584775,3.0229323220627435,485.0
erica,52.90391356910644,47.284968480976566,54.544845160309606,51.62424849690003,57.266226013582845,134.0,140.0,151.38,5.019826,1.793524,0.9004611927326257,0.5362013630394069,101.0
erick,65.00352291273526,57.14514262828529,27.16115478032049,28.182455026795143,31.78540372661513,47.0,162.0,162.96,5.093524,2.042473,0.2610032442703263,0.2797572328901253,35.0
erie,35.06796909931508,38.72876930812987,75.63501865244808,60.65924360511482,76.3370619941319,137.0,579.0,634.11,6.452216,2.125247,1.709571249970637,1.1967392740299807,122.0
erik,45.74827594151892,43.70776997104679,56.12268725161461,48.19755184532651,45.38088073982108,121.0,231.0,238.65,5.475005,1.819095,0.5481068129676852,0.6449958424966779,98.0
erika,43.80760165284841,46.30069837988618,62.18048399768349,47.49933722326261,62.451721140923546,73.0,121.0,121.04,4.796161,2.077937,0.3523543797649405,0.3186124041248649,54.0
erin,49.65561287860093,49.69940283307411,58.51018877141716,55.91697984730635,56.82777074811109,147.0,254.0,303.75,5.716205,2.12615,1.370267032419213,1.0024634178562826,123.0
ernest,56.31690651177698,60.29419033213408,50.65765192151851,58.34557224367221,46.81491060767111,73.0,154.0,140.86,4.947794,2.046869,0.4959061641136199,0.3030703356309691,66.0
ernie,46.21081283057045,48.886298218162615,53.58310303849246,63.202510634963495,50.42766500508953,54.0,133.0,152.8,5.029104,2.164556,0.3001537309108752,0.1865048219267502,34.0
erotic,52.15285476024082,49.09969105360428,53.51888777555062,64.274713710875,49.503499218157934,200.0,501.0,372.54,5.920354,2.084956,1.3441667079921804,1.6086040891182207,165.0
erotica,56.34567022333914,60.80072436181575,51.6226613332371,72.88502667454733,38.26145583011865,116.0,300.0,386.53,5.957201,1.895856,1.0179126526542726,0.8004165274356364,102.0
erp,36.844244960819694,31.921290057792284,71.6214065701476,82.54673842879303,85.96586397207912,53.0,1307.0,814.27,6.702293,1.892542,0.4828560019001036,0.2952993013840212,44.0
err,43.65941662332714,48.55979805327865,56.25270334261746,68.40100588314806,55.00804939297711,57.0,199.0,185.33,5.222145,1.832011,0.3262540553379078,0.2486730959023336,56.0
errday,27.80994297678912,31.141921863380567,48.6913549737112,40.70321748456986,42.621783304143705,35.0,65.0,67.01,4.20487,1.918461,0.1566019465621957,0.0543972397286354,35.0
error,47.33928943869532,51.52612341502878,45.3069607785794,69.87467469290752,41.635647350471,139.0,97.0,124.44,4.82386,2.415906,0.7308090839569136,0.7848744589417406,133.0
errors,42.24321761654743,49.53878697932316,47.78443447950279,67.17046369572165,44.30250407680645,84.0,331.0,350.12,5.858269,2.182174,0.417605190832522,0.528430328792459,80.0
ers,39.040295586267945,45.66788161737881,49.87384264831245,58.844907054764775,54.720486770145385,39.0,108.0,197.5,5.285754,2.233048,0.2349029198432936,0.2409020616553857,38.0
erstwhile,42.32910016961595,55.58066488182154,53.50607059410412,81.15896368955964,49.116556880620784,178.0,295.0,255.54,5.543375,1.898305,0.8613107060920767,1.0024634178562826,148.0
erykah,68.27376523506533,63.73411036026295,49.33841514938976,20.660544361200976,45.65662929709836,31.0,87.0,99.98,4.605007,2.264913,0.208802595416261,0.1865048219267502,30.0
esa,79.54084074031846,46.30284321488985,81.94423531948047,66.22690895571243,53.09496894511911,65.0,93.0,138.7,4.932318,2.057086,0.2349029198432936,0.2331310274084378,53.0
escape,53.226792416668886,53.03676979486436,45.928709901304885,54.13383143389786,44.98992358412038,538.0,117.0,131.39,4.878139,2.018547,2.531731469422165,2.5799833699867114,493.0
escaped,49.81586940774038,66.08177732914393,44.98796284508215,73.6261919786538,40.3083174717751,66.0,223.0,286.93,5.659234,2.338889,0.3654045419784568,0.6139117055088862,65.0
escapee,49.66541173064753,64.15714513066867,30.061949855933584,73.28179539432799,44.5560895214917,53.0,187.0,225.29,5.417405,1.562997,0.1435517843486794,0.2952993013840212,50.0
escaping,40.72293491562351,52.22600424968085,33.77048439533011,74.59051779349602,45.14011538404949,39.0,55.0,69.4,4.239943,1.993325,0.1305016221351631,0.1631917191859064,38.0
escapist,49.74902959522407,67.82074814422019,24.69946322382184,77.71296757161714,17.13594687237567,37.0,433.0,381.64,5.944476,1.623429,0.169652108775712,0.1321075821981147,32.0
escort,55.59843991942017,47.76454129390948,52.25488767534958,37.26017406191231,52.19775068638695,80.0,293.0,280.27,5.635755,1.868882,0.5220064885406526,0.5750565342741465,54.0
escribo,69.58133654356946,59.72162629652722,89.34688117281253,49.7887808670646,56.064195913859685,118.0,291.0,321.71,5.773652,2.002872,0.3784547041919731,0.3496965411126567,100.0
escritor,66.58184399923421,30.281522654064496,96.92323319831188,51.291348346358525,44.67485164778148,93.0,968.0,990.69,6.898399,2.404709,0.2871035686973589,0.2564441301492816,79.0
escritora,75.61423459777656,34.543251318261134,96.11608790714476,41.39548969833314,62.42142218562478,49.0,804.0,681.99,6.525009,2.520798,0.2218527576297773,0.1554206849389585,43.0
ese,56.572938074395495,42.6707624530136,66.34695192750092,45.79238932788607,35.971596939857186,66.0,315.0,296.41,5.691729,2.815771,0.169652108775712,0.310841369877917,62.0
esfj,51.44735265360524,51.48143020031951,55.72671223711012,59.89437722740137,53.41854175109204,47.0,463.0,364.36,5.898142,1.841139,0.456755677473071,0.3186124041248649,37.0
esg,31.10668132174512,33.44718614016023,63.24838367324588,61.82693053023469,76.24023346465094,38.0,482.0,513.02,6.240312,2.674273,0.1566019465621957,0.2875282671370732,35.0
