Word,Happy,Stable,Introvert,Anxious,Depressed
ä,0.7922621460027934,0.7072844146970554,0.9508916703197516,0.9942437373380457,0.8448575061241872
63,0.8245384816638579,0.7809630640850278,0.8980023322538178,0.8833595355220789,0.9950420286594395
blessings,0.830738783134517,0.8434137798992429,0.6498724914607352,0.9123852420182386,0.6657288714357046
restoration,0.5275200635335848,0.5511535160952019,0.435842952168602,0.4989162477725009,0.5683307724210276
badgers,0.6260019943165385,0.34344746977286356,0.8361489933206663,0.6317648976539383,0.7347803486762956
going,0.43155148906871954,0.5129196061320205,0.6639441679267839,0.9914365067554924,0.7153073859194528
cnc,0.939837295513613,0.8709296503787916,0.9504707310932212,0.7513880272926943,0.9246966147510802
ス,0.9431808534880424,0.6311229380121737,0.4568216057227612,0.8998048676909198,0.6881145523985943
rush,0.7362382519500688,0.7401024807766576,0.9091076285020412,0.7485802512340776,0.8262026210467113
football,3.018623806694265e-06,2.1785202530821834e-09,0.07160199276022983,1.9080579694019661e-07,6.97182311881761e-11
write,0.7062865724756702,0.1698403985053396,1.4221417669046943e-05,0.6375300978857141,0.36984475892066726
comedic,0.8162671484318933,0.8467003234147124,0.8912321984360538,0.9371748068170547,0.9561561031874994
blackpink,0.994046030170165,0.9416915905226544,0.9816992373332416,0.5879274664099083,0.9409581006022913
surf,0.5131947800199024,0.4728382273355056,0.7940149429555263,0.6547435312079104,0.8148113608863821
ripkobe,0.9956902198165534,0.8860776071157637,0.8258872982033374,0.8489865486241797,0.8448871052982523
317,0.8697368213692531,0.8585826813307083,0.6433453933609159,0.8471223811199984,0.8134795025226158
kh,0.782814188906106,0.7643014920311044,0.9932820706133219,0.8716696933705532,0.7291481577972929
major,0.03774355684339037,0.03290831662448657,0.14224669796921985,0.9759722709161243,0.8844620483295254
doin,0.46503155375227667,0.683971148354646,0.3216699126023592,0.9057310930892313,0.823513780723929
martial,0.5209683611905389,0.3436012450244834,0.33094860934630654,0.5189973341117804,0.9519566387247078
stiff,0.8981311282276261,0.9376769598572354,0.7914493668733853,0.9777029365603842,0.9486123548806391
albany,0.473372164507353,0.4629571078240393,0.8327886379526914,0.7531687489184382,0.6445239278431127
300,0.6783298083007572,0.6650225721473775,0.9134250652970868,0.6748189548346457,0.5939498806372865
scratch,0.7814950212316512,0.692301299852331,0.9544849229179357,0.7773946679097623,0.8947535259105495
achieved,0.9249596746314968,0.817099889221949,0.9074941073079403,0.866308501894004,0.8924240267359709
🅱,0.8897839067461213,0.854667873111846,0.5663179802701128,0.8941764537583512,0.9514302115947666
identical,0.7784956681007063,0.7809825705547278,0.8879805500266171,0.9402162570285875,0.9272654482130751
cm,0.9395277566071258,0.8024253316235941,0.9433613602955431,0.9260131819033179,0.9612922816691283
